reference_date,target,horizon,target_end_date,country,output_type,output_type_id,value
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.15,202
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.2,228
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.25,252
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.3,276
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.35,300
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.4,327
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.45,354
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.5,380
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.55,411
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.6,446
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.65,479
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.7,520
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.75,572
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.8,630
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.85,706
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.9,818
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.95,1014
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.975,1221
2025-05-03,inc flu case,2,2025-05-17,Australia,quantile,0.99,1524
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.01,96
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.025,117
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.05,149
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.1,186
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.15,219
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.2,245
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.25,273
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.3,298
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.35,328
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.4,357
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.45,387
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.5,418
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.55,454
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.6,493
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.65,539
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.7,597
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.75,658
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.8,733
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.85,823
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.9,946
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.95,1195
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.975,1524
2025-05-03,inc flu case,3,2025-05-24,Australia,quantile,0.99,1947
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.01,334
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.025,385
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.05,436
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.1,511
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.15,569
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.2,618
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.25,661
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.3,706
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.35,749
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.4,787
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.45,827
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.5,870
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.55,919
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.6,977
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.65,1028
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.7,1092
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.75,1159
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.8,1250
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.85,1356
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.9,1492
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.95,1717
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.975,2015
2025-05-03,inc flu case,-1,2025-04-26,Chile,quantile,0.99,2282
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.01,337
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.025,405
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.05,465
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.1,556
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.15,636
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.2,706
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.25,766
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.3,822
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.35,889
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.4,954
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.45,1032
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.5,1095
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.55,1166
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.6,1246
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.65,1322
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.7,1424
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.75,1521
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.8,1656
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.85,1834
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.9,2074
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.95,2519
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.975,2961
2025-05-03,inc flu case,0,2025-05-03,Chile,quantile,0.99,3515
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.01,317
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.025,401
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.05,484
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.1,595
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.15,683
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.2,762
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.25,847
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.3,924
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.35,1010
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.4,1090
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.45,1171
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.5,1266
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.55,1367
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.6,1464
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.65,1571
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.7,1713
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.75,1866
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.8,2045
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.85,2265
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.9,2646
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.95,3298
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.975,4049
2025-05-03,inc flu case,1,2025-05-10,Chile,quantile,0.99,4778
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.01,301
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.025,387
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.05,470
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.1,600
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.15,700
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.2,793
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.25,890
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.3,979
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.35,1059
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.4,1147
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.45,1243
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.5,1352
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.55,1466
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.6,1589
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.65,1731
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.7,1892
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.75,2104
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.8,2373
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.85,2658
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.9,3056
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.95,3907
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.975,4693
2025-05-03,inc flu case,2,2025-05-17,Chile,quantile,0.99,5774
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.01,264
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.025,348
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.05,425
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.1,567
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.15,673
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.2,771
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.25,860
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.3,960
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.35,1048
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.4,1139
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.45,1242
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.5,1356
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.55,1473
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.6,1598
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.65,1760
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.7,1954
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.75,2171
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.8,2473
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.85,2849
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.9,3367
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.95,4216
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.975,5152
2025-05-03,inc flu case,3,2025-05-24,Chile,quantile,0.99,6464
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.01,12
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.025,15
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.05,19
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.1,23
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.15,26
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.2,28
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.25,31
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.3,33
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.35,35
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.4,38
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.45,40
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.5,43
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.55,45
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.6,48
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.65,51
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.7,55
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.75,59
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.8,64
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.85,69
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.9,77
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.95,91
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.975,105
2025-05-03,inc flu case,-1,2025-04-26,South Africa,quantile,0.99,125
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.01,17
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.025,20
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.05,24
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.1,30
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.15,34
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.2,38
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.25,42
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.3,46
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.35,50
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.4,53
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.45,57
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.5,61
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.55,65
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.6,70
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.65,75
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.7,81
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.75,87
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.8,95
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.85,105
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.9,120
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.95,143
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.975,175
2025-05-03,inc flu case,0,2025-05-03,South Africa,quantile,0.99,216
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.01,20
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.025,24
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.05,30
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.1,37
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.15,44
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.2,49
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.25,55
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.3,60
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.35,66
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.4,71
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.45,77
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.5,83
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.55,89
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.6,95
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.65,104
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.7,114
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.75,124
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.8,137
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.85,153
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.9,177
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.95,223
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.975,274
2025-05-03,inc flu case,1,2025-05-10,South Africa,quantile,0.99,334
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.01,22
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.025,28
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.05,34
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.1,43
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.15,51
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.2,59
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.25,67
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.3,74
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.35,81
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.4,87
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.45,95
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.5,103
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.55,112
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.6,123
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.65,134
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.7,146
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.75,162
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.8,179
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.85,204
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.9,238
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.95,305
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.975,397
2025-05-03,inc flu case,2,2025-05-17,South Africa,quantile,0.99,502
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.01,20
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.025,27
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.05,34
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.1,44
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.15,53
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.2,61
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.25,70
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.3,77
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.35,85
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.4,93
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.45,102
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.5,112
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.55,122
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.6,133
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.65,147
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.7,163
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.75,180
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.8,202
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.85,232
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.9,271
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.95,360
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.975,455
2025-05-03,inc flu case,3,2025-05-24,South Africa,quantile,0.99,582
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.01,3
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.025,5
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.05,6
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.1,7
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.15,9
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.2,10
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.25,11
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.3,12
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.35,12
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.4,13
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.45,14
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.5,15
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.55,16
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.6,17
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.65,18
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.7,20
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.75,21
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.8,23
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.85,25
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.9,27
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.95,33
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.975,37
2025-05-03,inc flu case,-1,2025-04-26,Thailand,quantile,0.99,43
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.01,2
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.025,4
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.05,5
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.1,6
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.15,7
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.2,8
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.25,9
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.3,10
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.35,11
2025-05-03,inc flu case,0,2025-05-03,Thailand,quantile,0.4,12
